stage,case_id,variant,family,collision,goal_reached,mission_outcome,goal_time_s,north_progress_m,goal_distance_reduction_m,path_length_m,pass_through_rate,mean_steering_modification_rad,budget_unknown_fraction,no_witness_fraction
R07,crossing_004,feedback_hypothetical,crossing,False,True,goal,18.200000000000003,15.855733861127295,15.71543271983424,17.11160016774917,0.8186813186813187,0.09579900964431923,0.0,0.2857142857142857
R07,crossing_004,open_constrained,crossing,False,False,timeout,,0.5083759395194907,-0.2729751349516967,35.175917394131574,0.98,0.007383925803876287,0.0,0.015
R07,crossing_004,open_hypothetical,crossing,False,False,timeout,,1.345546977097964,0.3300629138426814,35.30216167777356,0.9775,0.004956288169958258,0.0,0.02
R07,crossing_005,feedback_constrained,crossing,False,True,goal,23.400000000000002,16.341325739805384,15.81122433247922,22.875586507198715,0.7393162393162394,0.15368001056821373,0.0,0.21367521367521367
R07,crossing_005,feedback_hypothetical,crossing,False,True,goal,18.04,15.964470531272063,15.814185176645612,17.59224557431104,0.8895027624309393,0.08262042105958542,0.0,0.23756906077348067
R07,crossing_005,open_constrained,crossing,False,False,timeout,,0.6598540705386995,0.641961809210212,37.187873099290535,0.9375,0.024956591316151477,0.0,0.0575
R07,crossing_005,open_hypothetical,crossing,True,False,collision,,9.027864884821042,8.340298310741217,11.272929043944332,0.42500000000000004,0.26162912592334775,0.0,0.625
R07,crossing_006,feedback_constrained,crossing,True,False,collision,,10.252380384625413,-6.760528736909336,30.429144733358775,0.3852691218130312,0.41023827142238084,0.0,0.6883852691218131
R07,crossing_006,feedback_hypothetical,crossing,True,False,collision,,8.252433443850045,8.252441472901987,8.264882290043746,0.5842696629213483,0.21620201332529337,0.0,0.48314606741573035
R07,crossing_006,open_constrained,crossing,False,False,timeout,,5.444856150513647,4.411001236695455,32.747694404755485,0.94,0.021629441427933424,0.0,0.0425
R07,crossing_006,open_hypothetical,crossing,True,False,collision,,9.329477474627637,8.154994094870785,11.669932054466964,0.4242424242424242,0.19136118988800563,0.0,0.6136363636363636
R07,crossing_007,feedback_constrained,crossing,False,True,goal,15.6,16.85794685754563,16.848794348905972,17.10741392559642,0.891025641025641,0.04825293704354605,0.0,0.07692307692307693
